Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,,true,REQUIRED,O app coleta ou compartilha algum dos tipos de dados do usuário obrigatórios?
PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT,,true,MAYBE_REQUIRED,Os dados dos usuários coletados pelo app são criptografados em trânsito?
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD,true,MULTIPLE_CHOICE,Quais dos seguintes métodos de criação de contas são oferecidos pelo app? Selecione todas as opções relevantes / Nome de usuário e senha
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_OTHER_AUTH,,MULTIPLE_CHOICE,Quais dos seguintes métodos de criação de contas são oferecidos pelo app? Selecione todas as opções relevantes / Nome de usuário e outras autenticações
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD_OTHER_AUTH,,MULTIPLE_CHOICE,"Quais dos seguintes métodos de criação de contas são oferecidos pelo app? Selecione todas as opções relevantes / Nome de usuário, senha e outras autenticações"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OAUTH,,MULTIPLE_CHOICE,Quais dos seguintes métodos de criação de contas são oferecidos pelo app? Selecione todas as opções relevantes / OAuth
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OTHER,,MULTIPLE_CHOICE,Quais dos seguintes métodos de criação de contas são oferecidos pelo app? Selecione todas as opções relevantes / Outro
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_NONE,,MULTIPLE_CHOICE,Quais dos seguintes métodos de criação de contas são oferecidos pelo app? Selecione todas as opções relevantes / Meu app não permite que os usuários criem uma conta
PSL_ACM_SPECIFY,,,MAYBE_REQUIRED,Descreva o método de criação de contas oferecido pelo app
PSL_ACCOUNT_DELETION_URL,,https://upclt.app/excluir-conta,MAYBE_REQUIRED,Adicione um link que os usuários possam usar para solicitar a exclusão da conta e dos dados 
